07.12.2022                                              Dynamic List Display                                                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Change Documents for User (4 Change Documents)

System ( Client ) A4H ( 400 ) Checked by NOVMM7 Checked on 07.12.2022 13:48:36
Status No data has been reorganized for US_USER and US_PASS
Criteria for Standard Selection
 - User                          I EQ RAJU
 - User                          I EQ S4C!12
 - User                          I EQ S4TEST12
 - User                          I EQ S4TEST4
 - User                          I EQ S4TEST9
 - User                          I EQ TMSADM
 - From Date                          23.08.2022
 - From Time                          00:00:00
 - To Date                            22.11.2022
 - To Time                            23:59:59
Selection by User Attributs
 - User Created                       X
 - User Deleted                       X
 - Password                           X
 - User Type                          X
 - Security Policy                    X
 - Administrator lock set             X
 - Incorrect logon lock set           X
 - Administrator lock release         X
 - Incorrect logon lock released      X
 - Validity Period                    X
 - Account Number                     X
 - License Data                       X
 - Reference User                     X
 - User Group                         X
 - Address Assignment                 X
 - Alias                              X
 - SNC Name                           X
 - Person Responsible                 X
 - User UUID                          X
Selection Criteria for Roles/Profiles
 - Search for Roles                   X
 - Search for Profiles                X
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|User  |Date      |Time    |Changed By|Action                 |Old value      |Active Old|Text|New value      |Active New|Text                         |TCode|Start Date|End Date  |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|S4C!12|26.09.2022|20:40:01|SAP*      |User created           |               |          |    |               |          |                             |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Initial User Type      |               |          |    |A              |          |Dialog User                  |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Password changed       |               |          |    |New Password  1|          |                             |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Password status changed|               |          |    |Initial        |          |                             |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Profile added          |               |          |    |SAP_ALL        |          |All SAP System authorizations|SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Profile added          |               |          |    |SAP_NEW        |          |New authorization checks     |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Person number changed  |               |          |    |27640          |          |                             |SU01 |          |          |
|S4C!12|26.09.2022|20:40:01|SAP*      |Address number changed |               |          |    |23620          |          |                             |SU01 |          |          |
|S4C!12|26.09.2022|20:41:19|S4C!12    |Password changed       |New Password  1|          |    |New Password  2|          |                             |KRNL |          |          |
|S4C!12|26.09.2022|20:41:19|S4C!12    |Password status changed|Initial        |          |    |Production     |          |                             |KRNL |          |          |
|S4C!12|02.10.2022|14:22:07|SAP*      |Password changed       |New Password  2|          |    |New Password  3|          |                             |SU01 |          |          |
|S4C!12|02.10.2022|14:22:07|SAP*      |Password status changed|Production     |          |    |Initial        |          |                             |SU01 |          |          |
|S4C!12|02.10.2022|14:22:41|S4C!12    |Password changed       |New Password  3|          |    |New Password  4|          |                             |KRNL |          |          |
|S4C!12|02.10.2022|14:22:41|S4C!12    |Password status changed|Initial        |          |    |Production     |          |                             |KRNL |          |          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
